Name,Japanese Name,Prefectures,Region
Yamato,大和国,Nara,Kinai
Yamashiro,山城国,Kyoto,Kinai
Settsu,摂津国,Osaka;Hyogo,Kinai
Kawachi,河内国,Osaka,Kinai
Izumi,和泉国,Osaka,Kinai
Iga,伊賀国,Mie,Tokaido
Ise,伊勢国,Mie,Tokaido
Shima,志摩国,Mie,Tokaido
Owari,尾張国,Aichi,Tokaido
Mikawa,三河国,Aichi,Tokaido
Totomi,遠江国,Shizuoka,Tokaido
Suruga,駿河国,Shizuoka,Tokaido
Izu,伊豆国,Shizuoka,Tokaido
Kai,甲斐国,Yamanashi,Tokaido
Sagami,相模国,Kanagawa,Tokaido
Musashi,武蔵国,Tokyo;Saitama;Kanagawa,Tokaido
Awa,安房国,Chiba,Tokaido
Kazusa,上総国,Chiba,Tokaido
Shimosa,下総国,Chiba;Ibaraki,Tokaido
Hitachi,常陸国,Ibaraki,Tokaido
Omi,近江国,Shiga,Tosando
Mino,美濃国,Gifu,Tosando
Hida,飛騨国,Gifu,Tosando
Shinano,信濃国,Nagano,Tosando
Kozuke,上野国,Gunma,Tosando
Shimotsuke,下野国,Tochigi,Tosando
Mutsu,陸奥国,Aomori;Iwate;Miyagi;Fukushima,Tosando
Dewa,出羽国,Akita;Yamagata,Tosando
Wakasa,若狭国,Fukui,Hokurikudo
Echizen,越前国,Fukui,Hokurikudo
Kaga,加賀国,Ishikawa,Hokurikudo
Noto,能登国,Ishikawa,Hokurikudo
Etchu,越中国,Toyama,Hokurikudo
Echigo,越後国,Niigata,Hokurikudo
Sado,佐渡国,Niigata,Hokurikudo
Tango,丹後国,Kyoto,San'indo
Tamba,丹波国,Kyoto;Hyogo,San'indo
Tajima,但馬国,Hyogo,San'indo
Inaba,因幡国,Tottori,San'indo
Hoki,伯耆国,Tottori,San'indo
Izumo,出雲国,Shimane,San'indo
Iwami,石見国,Shimane,San'indo
Oki,隠岐国,Shimane,San'indo
Harima,播磨国,Hyogo,San'yodo
Mimasaka,美作国,Okayama,San'yodo
Bizen,備前国,Okayama,San'yodo
Bitchu,備中国,Okayama,San'yodo
Bingo,備後国,Hiroshima,San'yodo
Aki,安芸国,Hiroshima,San'yodo
Suo,周防国,Yamaguchi,San'yodo
Nagato,長門国,Yamaguchi,San'yodo
Kii,紀伊国,Wakayama;Mie,Nankaido
Awaji,淡路国,Hyogo,Nankaido
Awa,阿波国,Tokushima,Nankaido
Sanuki,讃岐国,Kagawa,Nankaido
Iyo,伊予国,Ehime,Nankaido
Tosa,土佐国,Kochi,Nankaido
Chikuzen,筑前国,Fukuoka,Saikaido
Chikugo,筑後国,Fukuoka,Saikaido
Buzen,豊前国,Fukuoka;Oita,Saikaido
Bungo,豊後国,Oita,Saikaido
Hizen,肥前国,Saga;Nagasaki,Saikaido
Higo,肥後国,Kumamoto,Saikaido
Hyuga,日向国,Miyazaki,Saikaido
Osumi,大隅国,Kagoshima,Saikaido
Satsuma,薩摩国,Kagoshima,Saikaido
Iki,壱岐国,Nagasaki,Saikaido
Tsushima,対馬国,Nagasaki,Saikaido
Ezo,蝦夷地,Hokkaido,Hokkaido
